u^2,u^3
-0.014555562743489564,-0.004714526496162548
-0.014555562743489563,-0.004758612167863395
-0.014555562743489568,-0.004783705391502038
-0.014555562743489568,-0.004644691075571223
-0.014555562743489563,-0.004734737659132166
-0.014555562743489573,-0.004764797413854496
-0.014555562743489564,-0.00479402456733135
-0.01455556274348956,-0.0045192390806459756
-0.014555562743489564,-0.0048098931436178745
-0.014555562743489564,-0.004685549631393367
-0.014555562743489564,-0.004799896861145405
-0.014555562743489575,-0.004688163438440909
-0.014555562743489563,-0.004866036271877636
-0.014555562743489573,-0.004769963334903633
-0.014555562743489564,-0.004560309698013697
-0.014555562743489564,-0.004869528299674361
-0.014555562743489563,-0.004773083339963278
-0.014555562743489564,-0.004415654450679034
-0.01455556274348956,-0.004934669846865233
-0.01455556274348956,-0.004976768040217131
-0.014555562743489575,-0.004808376026621282
-0.01455556274348958,-0.00466781290232802
-0.014555562743489564,-0.004449225406037625
-0.01455556274348956,-0.004974687817942976
-0.014555562743489563,-0.00507695452928282
-0.014555562743489564,-0.004589570776899588
-0.01455556274348956,-0.005106849695534817
-0.01455556274348956,-0.005127031714066671
-0.01455556274348958,-0.004542737047280751
-0.014555562743489557,-0.004929567071444854
-0.01455556274348956,-0.004688029659917353
-0.014555562743489557,-0.005229505337113828
-0.014555562743489564,-0.004895215438874432
-0.014555562743489573,-0.0044628711730290834
-0.014555562743489557,-0.005276446094462857
-0.014555562743489554,-0.005332705490774605
-0.014555562743489557,-0.005159512565283245
-0.01455556274348956,-0.00518194670454584
-0.014555562743489575,-0.004661748385240166
-0.014555562743489554,-0.005444744711326075
-0.014555562743489557,-0.0050386403388644335
-0.014555562743489554,-0.0054088413324076155
-0.014555562743489552,-0.004770230929462352
-0.014555562743489545,-0.00545434384474025
-0.01455556274348955,-0.0055685499765705734
-0.014555562743489577,-0.004524922912757146
-0.014555562743489557,-0.0053191488166560545
-0.01455556274348955,-0.005009844412719258
-0.014555562743489547,-0.005653811207757073
-0.014555562743489564,-0.004506654691922639
-0.01455556274348955,-0.005628407619977848
-0.01455556274348954,-0.005308603351557496
-0.014555562743489552,-0.005589628497218254
-0.014555562743489545,-0.005721811466378429
-0.014555562743489547,-0.005790778422616215
-0.01455556274348955,-0.005825486028958758
-0.014555562743489563,-0.004745617278530981
-0.01455556274348953,-0.005622046639739192
-0.014555562743489554,-0.005173290384352786
-0.014555562743489552,-0.005834687117857596
-0.014555562743489545,-0.005964910136580848
-0.014555562743489557,-0.005510033032009077
-0.01455556274348955,-0.005996469409286087
-0.01455556274348957,-0.004437919978345955
-0.014555562743489552,-0.005823498305885732
-0.01455556274348955,-0.004845811473611544
-0.014555562743489537,-0.005916771202861479
-0.014555562743489552,-0.006035047686485834
-0.014555562743489554,-0.0045480568843209645
-0.014555562743489552,-0.006171025626057617
-0.014555562743489547,-0.006177447912231838
-0.01455556274348955,-0.006092318014468366
-0.014555562743489537,-0.005120132742374536
-0.014555562743489537,-0.006172136688447879
-0.014555562743489552,-0.006276087690504106
-0.014555562743489533,-0.0054732523300233754
-0.01455556274348953,-0.005844265920186561
-0.014555562743489547,-0.006357962883364747
-0.014555562743489557,-0.005774471417632663
-0.014555562743489552,-0.006126141765425815
-0.014555562743489537,-0.0061615249352011455
-0.014555562743489542,-0.006387632424354209
-0.014555562743489552,-0.005367194980025206
-0.01455556274348955,-0.004818206811220724
-0.014555562743489542,-0.0064099958235770745
-0.014555562743489547,-0.006541290122936324
-0.014555562743489552,-0.0064440973229240054
-0.014555562743489545,-0.006579314656765113
-0.014555562743489542,-0.0066138872757042985
-0.01455556274348954,-0.006445928924355701
-0.01455556274348953,-0.006165538549345928
-0.014555562743489547,-0.00676946266952653
-0.014555562743489554,-0.0049467473380851645
-0.014555562743489554,-0.006483320195143548
-0.014555562743489542,-0.006663762294239584
-0.014555562743489552,-0.006790148184346125
-0.014555562743489557,-0.006124716837535247
-0.01455556274348955,-0.0067847158937059
-0.014555562743489552,-0.006787093658514371
-0.014555562743489554,-0.0045600707284317215
-0.014555562743489552,-0.0056816499893406055
-0.014555562743489545,-0.006857569326273143
-0.014555562743489523,-0.005712702568686077
-0.01455556274348955,-0.006993097394311131
-0.01455556274348954,-0.006706890204304475
-0.01455556274348955,-0.00705700344690583
-0.01455556274348953,-0.005218884288671984
-0.01455556274348954,-0.0069325973430514705
-0.01455556274348955,-0.007072670601527594
-0.014555562743489537,-0.0048799651351729536
-0.01455556274348953,-0.006552674031243838
-0.01455556274348955,-0.0068573741544286125
-0.014555562743489542,-0.007156443993806558
-0.014555562743489552,-0.00706438611320491
-0.01455556274348955,-0.006545220952895438
-0.014555562743489545,-0.0073114699997368585
-0.01455556274348954,-0.007373280142664006
-0.01455556274348953,-0.006926315713224894
-0.014555562743489547,-0.00735286869350983
-0.01455556274348952,-0.0062616128852164745
-0.014555562743489547,-0.0072380434643853075
-0.01455556274348953,-0.007268259414844965
-0.014555562743489554,-0.006123071588740803
-0.01455556274348955,-0.007010016018787863
-0.014555562743489535,-0.007558795936879075
-0.014555562743489552,-0.005104351041411116
-0.01455556274348954,-0.007712956487628786
-0.014555562743489552,-0.004574500265914004
-0.014555562743489537,-0.0077153222864936935
-0.01455556274348952,-0.006794316778379677
-0.01455556274348954,-0.007636168671587038
-0.01455556274348952,-0.007286828309177453
-0.014555562743489552,-0.006657403484513699
-0.014555562743489545,-0.007490378861093852
-0.014555562743489524,-0.0077314351833004565
-0.014555562743489554,-0.005582720843221079
-0.014555562743489507,-0.005812766668739515
-0.01455556274348953,-0.008146294024243276
-0.01455556274348953,-0.008052164314152949
-0.01455556274348952,-0.008154380767241573
-0.01455556274348953,-0.004918069153368192
-0.014555562743489545,-0.007255148283496556
-0.014555562743489568,-0.004373648671309439
-0.014555562743489537,-0.007950220943941814
-0.014555562743489552,-0.006132296214904499
-0.01455556274348951,-0.007205526319929668
-0.014555562743489516,-0.005196909230687868
-0.01455556274348958,-0.004413850802451907
-0.014555562743489535,-0.00832733669895268
-0.01455556274348954,-0.007835008439177225
-0.014555562743489557,-0.004392118519017165
-0.014555562743489528,-0.008518642175165545
-0.01455556274348951,-0.007777932351194323
-0.014555562743489512,-0.006516928592867308
-0.01455556274348952,-0.008705073556144386
-0.014555562743489512,-0.008324174681531626
-0.014555562743489564,-0.004519108853089459
-0.014555562743489537,-0.008341509618725708
-0.014555562743489516,-0.00887948445062365
-0.01455556274348955,-0.004603707393992759
-0.014555562743489528,-0.008757767798195999
-0.014555562743489542,-0.007657995938432019
-0.014555562743489523,-0.00910310810594212
