u^2,u^3
-0.003352066570364617,-0.010891236584579534
-0.00833592726393303,-0.06510503949699084
-0.0028504736519763926,-0.0066781258978541366
-0.006726404971144294,-0.01390255145091144
-0.009685264571676322,-0.11258145059921784
-0.003287583827966064,-0.011407392776139495
-0.008752723347822816,-0.035303031934322375
-0.0031650141130795542,-0.008328588197129392
-0.0013896016408051584,-0.0015407785095414319
-0.003476780020999185,-0.0032945675218968074
-0.002275304725384387,-0.004751531250420969
-0.006046765474471653,-0.0302039607983704
-0.0028187652639949825,-0.0069894664105390495
-0.0025981443449397904,-0.006273259828340661
-0.0029849002225328753,-0.0064690744214048876
-0.002982770187895642,-0.006995303364168114
-0.002783916431492269,-0.006270333793526115
-0.0022925355345704895,-0.004589164473264915
-0.002799536872799696,-0.006388345477902146
-0.002634936537939355,-0.006076540806283038
-0.006673158342055792,-0.005991416663742398
-0.002195539686522407,-0.004241793897904669
-0.0016982005635717253,-0.0027205422598321092
-0.0024321881872535847,-0.03136269294567939
-0.001628152894588741,-0.0015903361860247836
-0.0035393258435759763,-0.01785808537218129
-0.0030013946735932924,-0.007664456363878807
-0.002616403192687956,-0.006574752653100304
-0.00557194781035423,-0.0401378546648682
-0.001799184975323887,-0.0028447686836723454
-0.0028622501327738416,-0.007264951199406489
-0.002617549511297943,-0.006588671833618615
-0.006491303681948716,-0.04020097330065513
-0.0021967587517508873,-0.0046037614682814644
-0.006191647328248856,-0.018760537447740276
-0.0037918393464546323,-0.013060127551839796
-0.0013537544561016178,-0.0008565526477881933
-0.004492673678082808,0.006033573848875309
-0.001641048002433781,-0.001198335082664784
-0.00157988358013999,-0.0017471235344221677
-0.0010532995943580517,-0.0002448581556906747
-0.001559050907517993,-0.0013208981193457846
-0.0015148453188141182,-0.0014729358626486004
-0.0017275979684543358,-0.002095940188314681
-0.0016949786765586626,-0.0014198523820391396
-0.0015028458614651337,-0.0013062168569431731
-0.0016713766402229795,-0.0014626323279198588
-0.0015987828896347933,-0.0013553866287472534
-0.0015261740644349545,-0.0011336826942080155
-0.0015968946338561507,-0.0013056312511268374
-0.0017663702563641731,-0.0015008781044023442
-0.0016759344099586137,-0.0012828415794522486
-0.001793197791528452,-0.001701424948899949
-0.0006414322199387079,0.0009151001145808507
