u^2,u^3
-0.02043371073610381,-1.9020620490792228e-07
-0.020433710736103818,-4.050303061900462e-07
-0.02043371073610381,-1.7031060174296786e-07
-0.020433710736103818,-3.544103423964995e-07
-0.020433710736103824,-3.9507884501063795e-07
-0.020433710736103818,-1.862948958673838e-07
-0.02043371073610382,-3.8386276093177463e-07
-0.020433710736103814,-1.8188654110282143e-07
-0.020433710736103776,-1.0941722120710873e-07
-0.020433710736103783,-1.9948059769639426e-07
-0.02043371073610381,-1.459341084641963e-07
-0.020433710736103818,-2.9238974430523257e-07
-0.02043371073610381,-1.6843127417787152e-07
-0.020433710736103804,-1.5937899230586416e-07
-0.0204337107361038,-1.7768538769849518e-07
-0.020433710736103807,-1.764218346723967e-07
-0.020433710736103804,-1.6756364256895195e-07
-0.020433710736103824,-1.4674144858950466e-07
-0.02043371073610381,-1.6807080266065255e-07
-0.020433710736103804,-1.6095724269388212e-07
-0.020433710736103807,-3.731738548937158e-07
-0.02043371073610379,-1.4287748711927506e-07
-0.020433710736103807,-1.2526683141819706e-07
-0.020433710736103814,-2.3980642693474663e-07
-0.020433710736103804,-1.19968512894697e-07
-0.02043371073610381,-2.2632602676014857e-07
-0.02043371073610381,-1.7567764019205123e-07
-0.020433710736103824,-1.5988554193796523e-07
-0.020433710736103814,-2.4219911935741134e-07
-0.020433710736103807,-1.2620725207274086e-07
-0.020433710736103804,-1.702387002096295e-07
-0.020433710736103818,-1.5997616573462659e-07
-0.02043371073610381,-2.8326368163231197e-07
-0.020433710736103804,-1.423472129405412e-07
-0.02043371073610383,-2.94443842779879e-07
-0.0204337107361038,-1.95866976679393e-07
-0.020433710736103793,-1.0799692841401143e-07
-0.020433710736103814,-2.2613542343535853e-07
-0.020433710736103807,-1.1989359841729774e-07
-0.02043371073610381,-1.1732770298367168e-07
-0.02043371073610381,-9.54116183976561e-08
-0.020433710736103804,-1.1660181137643222e-07
-0.020433710736103797,-1.1471971201812425e-07
-0.02043371073610381,-1.235300145854823e-07
-0.0204337107361038,-1.2236521354513918e-07
-0.020433710736103804,-1.1437657670282375e-07
-0.020433710736103807,-1.2140258569964812e-07
-0.020433710736103804,-1.183036742145871e-07
-0.02043371073610381,-1.1526311609680318e-07
-0.020433710736103804,-1.1839688256187753e-07
-0.020433710736103797,-1.254959701019187e-07
-0.020433710736103797,-1.2165279942091822e-07
-0.020433710736103804,-1.2683282996084344e-07
-0.020433710736103797,-7.786317540378618e-08
-0.020433710736103804,-1.1919830402232212e-07
-0.020433710736103814,-1.279241465500236e-07
-0.020433710736103804,-1.2156206665239755e-07
-0.02043371073610381,-1.1982846661109936e-07
-0.0204337107361038,-1.2112148073395446e-07
-0.02043371073610379,-1.1442332623415319e-07
-0.0204337107361038,-1.2252551105304543e-07
-0.020433710736103804,-1.2326783252816775e-07
-0.020433710736103804,-1.1681065174157235e-07
-0.020433710736103807,-1.2641550146963443e-07
-0.0204337107361038,-8.069981307853857e-08
-0.020433710736103804,-1.1329343018937066e-07
-0.020433710736103797,-1.0581254908034743e-07
-0.02043371073610381,-1.014771936168335e-07
-0.0204337107361038,-1.1661187772349368e-07
-0.020433710736103804,-1.1461848762814308e-07
-0.02043371073610379,-1.2350047132875241e-07
-0.02043371073610379,-1.2097408848277258e-07
-0.020433710736103797,-1.2263675283966102e-07
-0.02043371073610379,-1.2416807421838927e-07
-0.020433710736103797,-1.2308346976699913e-07
-0.020433710736103804,-1.1719657839678876e-07
-0.020433710736103797,-1.220940277768534e-07
-0.02043371073610381,-1.0298392193880401e-07
-0.020433710736103804,-1.1151308690685036e-07
-0.02043371073610381,-1.0211490091352471e-07
-0.0204337107361038,-1.0676401149267711e-07
-0.020433710736103814,-9.362252844161145e-08
-0.020433710736103818,-1.9430580013718446e-07
-0.02043371073610381,-1.9736438047063265e-07
-0.020433710736103818,-1.913991515035962e-07
-0.020433710736103807,-1.841542216773906e-07
-0.02043371073610382,-2.033898196980577e-07
-0.02043371073610381,-1.7815417381605858e-07
-0.020433710736103804,-1.4477834014633983e-07
-0.020433710736103804,-1.7395049743337831e-07
-0.02043371073610381,-1.0882303117659697e-07
-0.020433710736103818,-1.9796881253753007e-07
-0.020433710736103807,-1.221836600055759e-07
-0.020433710736103814,-1.0926189117355101e-07
-0.020433710736103818,-1.5497707839609576e-07
-0.020433710736103818,-1.5397639976932886e-07
-0.020433710736103814,-1.5845887539611692e-07
-0.020433710736103807,-1.7238314159798152e-07
-0.020433710736103824,-1.594173051136516e-07
-0.020433710736103824,-1.6696676210029016e-07
-0.020433710736103824,-1.43810926823279e-07
-0.020433710736103818,-1.720856206491317e-07
-0.020433710736103814,-2.3196197888875059e-07
-0.02043371073610381,-1.5457433320473224e-07
-0.02043371073610381,-1.3500876287764196e-07
-0.020433710736103818,-1.462812774521982e-07
-0.020433710736103814,-1.5177674807936858e-07
-0.02043371073610381,-1.5690726420936052e-07
-0.020433710736103804,-1.5201511663689993e-07
-0.02043371073610381,-1.559619769685161e-07
-0.0204337107361038,-1.4916996922409442e-07
-0.02043371073610381,-1.4189938478403885e-07
-0.020433710736103804,-1.469530556998111e-07
-0.020433710736103804,-1.5031258005296366e-07
-0.020433710736103797,-1.4335905409654237e-07
-0.0204337107361038,-1.4966946456848595e-07
-0.020433710736103797,-1.3963313625492413e-07
-0.020433710736103804,-1.4960129243388187e-07
-0.020433710736103804,-1.1537951844636796e-07
-0.0204337107361038,-1.1855356615506074e-07
-0.020433710736103804,-1.2616718594871124e-07
-0.020433710736103804,-1.2073502980367024e-07
-0.02043371073610381,-1.0565856695815556e-07
-0.020433710736103818,-1.8991753288413737e-07
-0.02043371073610381,-1.2051422570644177e-07
-0.02043371073610383,-1.8742379457106773e-07
-0.020433710736103824,-1.0467843136741095e-07
-0.02043371073610381,-1.2052493973679912e-07
-0.02043371073610381,-1.1904942556761888e-07
-0.020433710736103804,-1.0414682008810794e-07
-0.020433710736103807,-1.204162730049363e-07
-0.020433710736103818,-1.2019795362500085e-07
-0.020433710736103804,-1.0369613811372913e-07
-0.020433710736103814,-1.1719651754615867e-07
-0.020433710736103814,-1.1496975207622717e-07
-0.02043371073610382,-2.1360778497403476e-07
-0.020433710736103797,-1.0342350913877807e-07
-0.02043371073610383,-9.856921972736798e-08
-0.020433710736103842,-1.7188025618411484e-07
-0.0204337107361038,-1.1434412674690697e-07
-0.020433710736103804,-1.0371228876399075e-07
-0.02043371073610381,-1.1262663971930986e-07
-0.020433710736103804,-1.1228455981671104e-07
-0.020433710736103804,-1.1169702312380236e-07
-0.020433710736103804,-1.1834828858581226e-07
-0.0204337107361038,-1.8165226842517535e-07
-0.020433710736103793,-1.0240999840857579e-07
-0.02043371073610381,-1.704986160658284e-07
-0.020433710736103804,-9.802618173779254e-08
-0.020433710736103818,-1.1524223859915583e-07
-0.0204337107361038,-1.2475334847106279e-07
-0.020433710736103797,-1.0686496062367601e-07
-0.020433710736103797,-1.0575336792384427e-07
-0.0204337107361038,-1.0417110460694823e-07
-0.020433710736103804,-9.715818418201683e-08
