u^2,u^3,u^4
-0.01556759123179597,-0.016377915878607322,-0.00531763783746531
-0.015439924955038294,-0.01618508349417021,-0.005272688020161943
-0.015228619846650233,-0.015974591752062575,-0.005189550822588402
-0.01566683634589283,-0.016578086619828087,-0.00535462965209083
-0.015540052481291517,-0.016258804464960953,-0.005325032155914591
-0.01495962703734509,-0.015820279777072024,-0.00507552760817848
-0.015349584838244019,-0.015981276559924245,-0.005257827224112087
-0.01575567049563703,-0.016988604203653307,-0.005350878479352975
-0.01509266948959545,-0.015765489606607695,-0.005151726063472996
-0.015638246485881985,-0.01631275263290757,-0.005393508418457175
-0.015466602030224368,-0.015895678266957362,-0.005352247672683603
-0.014660874915282746,-0.01576543537145855,-0.004943132841284046
-0.015219809593373516,-0.015588806199273606,-0.005254166522728339
-0.01478508595508778,-0.01563064493746452,-0.005017803468373979
-0.015738594283103,-0.01676466886330215,-0.00538505095527592
-0.01490555223805784,-0.015380479368265547,-0.005114575940469288
-0.015587048476613071,-0.01577295779192616,-0.005474674131728162
-0.015767865850961217,-0.017304843300988845,-0.005316449795899204
-0.01535445872592602,-0.015242027257184002,-0.0054049687174856555
-0.015041687402589883,-0.015053421615857602,-0.005240794789345031
-0.014530052332666485,-0.015235067724564347,-0.004950283569634771
-0.014456376332771139,-0.01560208954891526,-0.00487171616612533
-0.01577338697364136,-0.017153874586757427,-0.005347244916943103
-0.014658170765184367,-0.014797202613971562,-0.00507090841635661
-0.01515226118293569,-0.014700891616744542,-0.005363546412267957
-0.015718178583766937,-0.016384659395478847,-0.005466645654808673
-0.015334182354961538,-0.014519005772644818,-0.005517882099985034
-0.014853628054213672,-0.014402890381316915,-0.005232148206438588
-0.014372646172949331,-0.015864583132247898,-0.004808340818167867
-0.015552964274108239,-0.014919106437061716,-0.005624187969090815
-0.01568097955747223,-0.015669065480889907,-0.0056006149976433545
-0.015088686618490759,-0.014117328126941659,-0.00541588684524124
-0.01418094867481557,-0.014595390587808904,-0.004865231145342603
-0.015765743490494092,-0.016943525535665468,-0.005395948125772975
-0.015279465471214651,-0.01390092745456639,-0.005579612129049218
-0.014743085879652916,-0.013637097839207577,-0.0052760794934948755
-0.014333915502574375,-0.013910563615306017,-0.00501923147536278
-0.015470043543236884,-0.014033207395439121,-0.005708927875611701
-0.014091208237952794,-0.015194471140726836,-0.00476101369771743
-0.015064464784731713,-0.013346159627239423,-0.005516224000674196
