u^2,u^3
-0.014555562743489497,-0.004714526496162525
-0.0145555627434895,-0.0047586121678633705
-0.014555562743489505,-0.004783705391502015
-0.0145555627434895,-0.0046446910755712
-0.0145555627434895,-0.004734737659132142
-0.014555562743489502,-0.0047647974138544736
-0.014555562743489505,-0.004794024567331327
-0.014555562743489493,-0.004519239080645955
-0.014555562743489505,-0.004809893143617851
-0.014555562743489502,-0.004685549631393344
-0.014555562743489502,-0.00479989686114538
-0.014555562743489505,-0.004688163438440887
-0.014555562743489505,-0.004866036271877612
-0.014555562743489497,-0.004769963334903611
-0.014555562743489497,-0.004560309698013676
-0.014555562743489505,-0.004869528299674339
-0.014555562743489507,-0.004773083339963254
-0.014555562743489493,-0.004415654450679015
-0.014555562743489509,-0.004934669846865208
-0.014555562743489505,-0.004976768040217106
-0.0145555627434895,-0.004808376026621258
-0.0145555627434895,-0.0046678129023279965
-0.014555562743489497,-0.004449225406037604
-0.014555562743489497,-0.004974687817942949
-0.014555562743489512,-0.005076954529282794
-0.014555562743489502,-0.004589570776899564
-0.014555562743489516,-0.005106849695534793
-0.014555562743489507,-0.005127031714066644
-0.014555562743489507,-0.0045427370472807295
-0.014555562743489512,-0.004929567071444828
-0.014555562743489507,-0.004688029659917329
-0.014555562743489514,-0.005229505337113804
-0.014555562743489502,-0.004895215438874408
-0.0145555627434895,-0.00446287117302906
-0.014555562743489521,-0.005276446094462834
-0.014555562743489512,-0.005332705490774581
-0.014555562743489509,-0.005159512565283219
-0.014555562743489516,-0.005181946704545813
-0.0145555627434895,-0.004661748385240142
-0.014555562743489521,-0.005444744711326051
-0.01455556274348952,-0.005038640338864406
-0.014555562743489521,-0.0054088413324075895
-0.014555562743489514,-0.004770230929462325
-0.014555562743489509,-0.0054543438447402235
-0.014555562743489516,-0.005568549976570549
-0.014555562743489502,-0.004524922912757124
-0.014555562743489516,-0.005319148816656027
-0.014555562743489509,-0.005009844412719232
-0.01455556274348952,-0.005653811207757049
-0.014555562743489505,-0.004506654691922614
-0.014555562743489516,-0.0056284076199778245
-0.014555562743489509,-0.005308603351557469
-0.01455556274348952,-0.005589628497218227
-0.014555562743489516,-0.0057218114663784014
-0.014555562743489523,-0.00579077842261619
-0.014555562743489526,-0.005825486028958732
-0.014555562743489505,-0.004745617278530959
-0.014555562743489516,-0.005622046639739165
-0.014555562743489516,-0.005173290384352758
-0.014555562743489521,-0.005834687117857571
-0.014555562743489523,-0.005964910136580819
-0.014555562743489526,-0.0055100330320090474
-0.014555562743489526,-0.005996469409286059
-0.014555562743489502,-0.0044379199783459305
-0.014555562743489526,-0.005823498305885705
