u^2,u^3
-0.020758602416180456,-0.0030496089045077206
-0.020669577607698567,-0.0031277957674367483
-0.020565718489847236,-0.003205755490671507
-0.020839100660238707,-0.0029375893486130126
-0.020693421675246997,-0.0030556787205020188
-0.020479055935812084,-0.0032497870711644936
-0.020562754938041983,-0.0031632044941416314
-0.021026685992357637,-0.002805181950689756
-0.020454174280413857,-0.003245407619193339
-0.02068883497478302,-0.0029256165129732804
-0.02049485541166938,-0.0030750876782712354
-0.020427375803996187,-0.003234359984731608
-0.020352997717559336,-0.0032145382498385408
-0.020372006956851787,-0.0032769143483930324
-0.020904595440184998,-0.0028056399375201587
-0.020247471798252595,-0.0033074232603933986
-0.02038333237349799,-0.00290509722655512
-0.02117148815121381,-0.0027182516267727948
-0.02014285581923151,-0.0031323039972134367
-0.020071981872394024,-0.003309802536565984
-0.020153167406461305,-0.0033315727396834287
-0.020326220299250516,-0.0032382882760239712
-0.021091751294078667,-0.002721924715620258
-0.019937245494713846,-0.003412331455472512
-0.019877065292862452,-0.00329913576152601
-0.020671131081695854,-0.0027201036359455516
-0.01975174505934886,-0.0031809541783108177
-0.019732864705489524,-0.0034402341675658886
-0.020435413413066747,-0.003135880752642434
-0.01990278861297743,-0.002880527777513553
-0.020255931694345048,-0.002644376939366706
-0.019569763308477397,-0.003389421287865816
-0.019806922039378238,-0.0034382300907055
-0.02096154448462718,-0.00266818570029005
-0.019429079942272953,-0.0032835921145693034
-0.01933227196759542,-0.0035852038602077665
-0.01947049302987376,-0.003593973568766761
-0.01945110473278097,-0.0030506059835868488
-0.02008638387537629,-0.0032625071653269748
-0.019159106531268844,-0.0034972403261266357
-0.019388345117488933,-0.002702096153610624
-0.019101383702471324,-0.0032591528477469434
-0.01978419239302626,-0.002490461753035581
-0.01899451774625638,-0.00380068702488648
-0.018932215301130647,-0.0037397685842336524
-0.02033853415278542,-0.003134107968310036
-0.018998688112343773,-0.0029496790355290933
-0.019365823273172354,-0.0035970051484518996
-0.018810247889256115,-0.0036730621812638004
-0.02051904232574963,-0.002486066076279079
-0.018784199285843014,-0.0034942100847924944
-0.018964523019651684,-0.003824582722586366
-0.01865471097436887,-0.003233011095228529
-0.0185949363793534,-0.003967432752443006
-0.01857131411903052,-0.003866706578355443
-0.018496639873556254,-0.003728167126645376
-0.01968856761574459,-0.00337959882159357
-0.018540590186666445,-0.0040439397753381815
-0.018822395205610482,-0.0025341102452040754
-0.01835448030534131,-0.0035287282076132327
-0.018238411647523142,-0.004090719719882956
-0.01844423612432565,-0.0028747133013867954
-0.018228018005776565,-0.003954344898522077
-0.0208140869852154,-0.0025434168505179136
-0.01811840299987825,-0.003247841986286888
-0.019237322989284517,-0.0022616484516788556
-0.018164331620679465,-0.00421513420454479
-0.01810538630367185,-0.0038065091719203846
-0.02013302674747286,-0.0023334570710158574
-0.01792120311629202,-0.004020302538339335
-0.0179111328594446,-0.0041685456384862075
-0.01784321611493522,-0.00361913898556836
-0.01887220788432251,-0.0037848390412170774
-0.017836029522786116,-0.004326065141972215
